trial,block,condition,target_index,reaction_time_ms,movement_time_ms,total_time_ms,success
1,1,automatic,3,1032.39,1348.77,2381.16,1
2,1,automatic,3,732.866,1065.86,1798.72,1
3,1,automatic,1,632.695,999.434,1632.13,1
4,1,automatic,6,16.6299,1682.05,1698.68,1
5,1,automatic,4,383.43,1099.35,1482.78,1
6,2,controlled,5,915.77,1366.32,2282.09,1
7,2,controlled,4,749.396,1115.98,1865.38,1
8,2,controlled,6,449.341,1416.06,1865.41,1
9,2,controlled,7,450.03,1298.42,1748.45,1
10,2,controlled,5,599.016,682.997,1282.01,1
